epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39232,3.31805,40.7048,2.28665,0.00067,0.2,0.00033,3e-05,3.62152,6.24419,3.56043,0,0,0
2,11.0566,3.51974,9.77822,3.15348,0.00067,0.2,0.00033,3e-05,3.62434,6.1718,3.58706,1.9604e-05,1.9604e-05,1.9604e-05
3,16.1252,0,45.266,0,0.00067,0.2,0.00034,3e-05,3.64439,6.08066,3.64169,3.8416e-05,3.8416e-05,3.8416e-05
4,21.1478,4.29309,9.0584,4.36349,0.00067,0.2,0.00034,3e-05,3.64209,5.90349,3.66666,5.6436e-05,5.6436e-05,5.6436e-05
5,26.2985,3.34618,6.12509,3.03838,0.00067,0.2,0.00034,3e-05,3.68956,5.78612,3.73237,7.3664e-05,7.3664e-05,7.3664e-05
6,30.9705,4.16599,9.05455,3.7144,0.00067,0.2,0.00035,6e-05,3.6449,6.00224,3.73215,9.01e-05,9.01e-05,9.01e-05
7,35.5648,2.57724,5.71328,1.94758,0.00067,0.2,0.00117,0.00018,3.6497,6.16314,3.78818,0.000105744,0.000105744,0.000105744
8,40.552,2.17954,5.02128,2.09311,0.00067,0.2,0.00036,4e-05,3.72548,6.02283,3.72732,0.000120596,0.000120596,0.000120596
9,44.9234,0,44.2448,0,0.00067,0.2,0.00037,4e-05,3.7776,6.2552,3.81643,0.000134656,0.000134656,0.000134656
10,49.5052,1.88981,7.47779,1.76344,0.00067,0.2,0.00036,4e-05,3.67,6.80334,3.81323,0.000147924,0.000147924,0.000147924
11,54.298,2.24225,16.608,2.23031,0.00067,0.2,0.00029,4e-05,3.58636,7.04657,3.795,0.0001604,0.0001604,0.0001604
12,59.0531,1.78618,5.55916,1.85931,0.00067,0.2,0.0003,4e-05,3.55653,6.73457,3.92739,0.000172084,0.000172084,0.000172084
13,63.426,1.35212,6.91392,1.68967,0.00067,0.2,0.00038,4e-05,3.52427,6.60192,4.06758,0.000182976,0.000182976,0.000182976
14,68.1992,1.66544,9.66942,1.88579,0.00067,0.2,0.00016,3e-05,3.50176,6.29398,3.96981,0.000193076,0.000193076,0.000193076
15,72.8397,0.62578,11.3937,1.22705,0.00067,0.2,0.00039,0.0001,3.43083,6.61906,3.89038,0.000202384,0.000202384,0.000202384
16,77.656,2.04835,6.43567,2.03021,0.00067,0.2,0.00018,5e-05,3.40032,6.89062,3.91841,0.0002109,0.0002109,0.0002109
17,82.268,1.83166,10.3761,2.5028,0.00067,0.2,0.0002,7e-05,3.4386,6.2767,3.94639,0.000218624,0.000218624,0.000218624
18,86.937,0.77759,4.5481,1.25149,0.00067,0.2,0.0002,7e-05,3.4386,6.2767,3.94639,0.000225556,0.000225556,0.000225556
19,91.3628,1.70376,7.07939,1.90118,0.00133,0.4,0.00065,0.0001,3.38707,6.29553,4.02122,0.000231696,0.000231696,0.000231696
20,96.1391,1.68744,4.06474,1.63407,0.00133,0.4,0.00065,0.0001,3.38707,6.29553,4.02122,0.000237044,0.000237044,0.000237044
21,100.506,1.37852,3.67847,1.52451,0.00133,0.4,0.00063,9e-05,3.29699,6.31303,4.00902,0.0002416,0.0002416,0.0002416
22,105.391,1.307,4.0447,1.19854,0.00133,0.4,0.00063,9e-05,3.29699,6.31303,4.00902,0.000245364,0.000245364,0.000245364
23,109.716,0,44.3212,0,0.00067,0.2,0.0002,2e-05,3.14937,6.332,3.98167,0.000248336,0.000248336,0.000248336
24,114.277,0.88085,6.1454,0.83626,0.00067,0.2,0.0002,2e-05,3.14937,6.332,3.98167,0.000250516,0.000250516,0.000250516
25,119.204,2.44766,10.5283,1.63102,0.00067,0.2,0.00019,6e-05,3.21888,6.35714,4.12728,0.000251904,0.000251904,0.000251904
26,123.76,1.41811,4.12245,1.55485,0.00067,0.2,0.00019,6e-05,3.21888,6.35714,4.12728,0.0002525,0.0002525,0.0002525
27,128.607,1.78785,7.00884,2.20279,0.00067,0.2,0.00019,6e-05,3.30236,6.68937,4.18238,0.000252304,0.000252304,0.000252304
28,133.295,1.21675,6.56377,1.35916,0.00067,0.2,0.00019,6e-05,3.30236,6.68937,4.18238,0.000251316,0.000251316,0.000251316
29,139.094,1.08241,4.45992,1.17161,0.00133,0.4,0.00077,0.00015,3.39267,6.85542,4.15479,0.000249536,0.000249536,0.000249536
30,143.729,1.53721,6.26079,1.6503,0.00133,0.4,0.00077,0.00015,3.39267,6.85542,4.15479,0.000246964,0.000246964,0.000246964
31,148.747,1.65655,14.3219,2.16316,0.00133,0.4,0.00069,0.00021,3.46064,6.8499,4.14654,0.0002436,0.0002436,0.0002436
32,153.617,1.65332,3.4887,2.07439,0.00133,0.4,0.00069,0.00021,3.46064,6.8499,4.14654,0.000239444,0.000239444,0.000239444
33,158.703,1.53525,7.18869,1.29664,0.00133,0.4,0.00057,0.00014,3.54885,6.86633,4.14411,0.000234496,0.000234496,0.000234496
34,163.502,1.74452,8.10208,1.92614,0.00133,0.4,0.00057,0.00014,3.54885,6.86633,4.14411,0.000228756,0.000228756,0.000228756
35,168.06,0,42.5179,0,0.00067,0.2,0.0002,6e-05,3.6299,6.64955,4.17075,0.000222224,0.000222224,0.000222224
36,173.052,1.35533,3.83857,1.83776,0.00067,0.2,0.0002,6e-05,3.6299,6.64955,4.17075,0.0002149,0.0002149,0.0002149
37,177.767,1.46816,6.04184,1.66372,0.00067,0.2,0.00017,5e-05,3.70195,6.56547,4.17544,0.000206784,0.000206784,0.000206784
38,182.403,0.91653,5.60829,0.92581,0.00067,0.2,0.00017,5e-05,3.70195,6.56547,4.17544,0.000197876,0.000197876,0.000197876
39,186.895,1.08751,4.09559,1.45245,0,0,0,0,3.7364,6.1681,4.1712,0.000188176,0.000188176,0.000188176
40,191.61,1.60905,6.04608,1.62538,0,0,0,0,3.7364,6.1681,4.1712,0.000177684,0.000177684,0.000177684
41,196.243,0.66259,14.2132,1.16072,0,0,0,0,3.73406,6.07047,4.242,0.0001664,0.0001664,0.0001664
42,201.185,1.73291,9.52434,2.268,0,0,0,0,3.73406,6.07047,4.242,0.000154324,0.000154324,0.000154324
43,206.047,1.01527,8.68322,1.2987,0,0,0,0,3.62428,6.01611,4.24629,0.000141456,0.000141456,0.000141456
44,210.878,1.37777,9.11777,1.49775,0,0,0,0,3.62428,6.01611,4.24629,0.000127796,0.000127796,0.000127796
45,215.408,0.98021,10.7729,1.58743,0,0,0,0,3.48372,6.44442,4.27578,0.000113344,0.000113344,0.000113344
46,220.256,0.88581,8.49292,1.43341,0,0,0,0,3.48372,6.44442,4.27578,9.81e-05,9.81e-05,9.81e-05
47,224.873,0.78307,10.6785,1.02084,0,0,0,0,3.51737,6.62905,4.34918,8.2064e-05,8.2064e-05,8.2064e-05
48,229.236,0.6142,9.34928,0.9367,0,0,0,0,3.51737,6.62905,4.34918,6.5236e-05,6.5236e-05,6.5236e-05
49,234.221,0.75782,8.09145,0.97096,0.00067,0.2,0.00018,2e-05,3.53758,6.6906,4.35395,4.7616e-05,4.7616e-05,4.7616e-05
50,238.689,1.70523,7.49897,1.08837,0.00067,0.2,0.00018,2e-05,3.53758,6.6906,4.35395,2.9204e-05,2.9204e-05,2.9204e-05
